S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Win Team
533,Ireland,U.S.A.,Ireland,6 wickets,Harare,2023-06-30,ODI # 4607,Team 1
534,Scotland,West Indies,Scotland,7 wickets,Harare,2023-07-01,ODI # 4608,Team 1
535,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,2023-07-02,ODI # 4609,Team 2
536,Nepal,U.A.E.,Nepal,3 wickets,Harare,2023-07-02,ODI # 4610,Team 1
537,Netherlands,Oman,Netherlands,74 runs,Harare,2023-07-03,ODI # 4611,Team 1
538,Zimbabwe,Scotland,Scotland,31 runs,Bulawayo,2023-07-04,ODI # 4612,Team 2
539,Ireland,Nepal,Ireland,2 wickets,Harare,2023-07-04,ODI # 4613,Team 1
540,Oman,West Indies,West Indies,7 wickets,Harare,2023-07-05,ODI # 4614,Team 2
541,Bangladesh,Afghanistan,Afghanistan,17 runs,Chattogram,2023-07-05,ODI # 4615,Team 2
542,Netherlands,Scotland,Netherlands,4 wickets,Bulawayo,2023-07-06,ODI # 4616,Team 1
543,U.A.E.,U.S.A.,U.A.E.,1 run,Harare,2023-07-06,ODI # 4617,Team 1
544,Sri Lanka,West Indies,Sri Lanka,8 wickets,Harare,2023-07-07,ODI # 4618,Team 1
545,Bangladesh,Afghanistan,Afghanistan,142 runs,Chattogram,2023-07-08,ODI # 4619,Team 2
546,Netherlands,Sri Lanka,Sri Lanka,128 runs,Harare,2023-07-09,ODI # 4620,Team 2
547,Bangladesh,Afghanistan,Bangladesh,7 wickets,Chattogram,2023-07-11,ODI # 4621,Team 1
548,West Indies,India,India,5 wickets,Bridgetown,2023-07-27,ODI # 4622,Team 2
549,West Indies,India,West Indies,6 wickets,Bridgetown,2023-07-29,ODI # 4623,Team 1
550,West Indies,India,India,200 runs,Tarouba,2023-08-01,ODI # 4624,Team 2
551,New Zealand,Pakistan,New Zealand,61 runs,Wellington,2018-01-06,ODI # 3946,Team 1
552,New Zealand,Pakistan,New Zealand,8 wickets,Nelson,2018-01-09,ODI # 3947,Team 1
553,U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai,2018-01-11,ODI # 3948,Team 2
554,New Zealand,Pakistan,New Zealand,183 runs,Dunedin,2018-01-13,ODI # 3949,Team 1
555,U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai,2018-01-13,ODI # 3950,Team 2
556,Australia,England,England,5 wickets,Melbourne,2018-01-14,ODI # 3951,Team 2
557,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,2018-01-15,ODI # 3952,Team 1
558,New Zealand,Pakistan,New Zealand,5 wickets,Hamilton,2018-01-16,ODI # 3953,Team 1
559,Ireland,Scotland,Ireland,6 wickets,ICCA Dubai,2018-01-16,ODI # 3954,Team 1
560,Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Mirpur,2018-01-17,ODI # 3955,Team 2
561,Ireland,Scotland,Ireland,24 runs,ICCA Dubai,2018-01-18,ODI # 3956,Team 1
562,New Zealand,Pakistan,New Zealand,15 runs,Wellington,2018-01-19,ODI # 3957,Team 1
563,Australia,England,England,4 wickets,Brisbane,2018-01-19,ODI # 3958,Team 2
564,Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur,2018-01-19,ODI # 3959,Team 1
565,Australia,England,England,16 runs,Sydney,2018-01-21,ODI # 3960,Team 2
566,U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai,2018-01-21,ODI # 3961,Team 2
567,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Mirpur,2018-01-21,ODI # 3962,Team 1
568,U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai,2018-01-23,ODI # 3963,Team 1
569,Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur,2018-01-23,ODI # 3964,Team 1
570,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur,2018-01-25,ODI # 3965,Team 2
571,Australia,England,Australia,3 wickets,Adelaide,2018-01-26,ODI # 3966,Team 1
572,Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur,2018-01-27,ODI # 3967,Team 2
573,Australia,England,England,12 runs,Perth,2018-01-28,ODI # 3968,Team 2
574,South Africa,India,India,6 wickets,Durban,2018-02-01,ODI # 3969,Team 2
575,South Africa,India,India,9 wickets,Centurion,2018-02-04,ODI # 3970,Team 2
576,South Africa,India,India,124 runs,Cape Town,2018-02-07,ODI # 3971,Team 2
577,Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah,2018-02-09,ODI # 3972,Team 1
578,South Africa,India,South Africa,5 wickets,Johannesburg,2018-02-10,ODI # 3973,Team 1
579,Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah,2018-02-11,ODI # 3974,Team 2
580,Afghanistan,Zimbabwe,Afghanistan,6 wickets,Sharjah,2018-02-13,ODI # 3975,Team 1
581,South Africa,India,India,73 runs,Gqeberha,2018-02-13,ODI # 3976,Team 2
582,Afghanistan,Zimbabwe,Afghanistan,10 wickets,Sharjah,2018-02-16,ODI # 3977,Team 1
583,South Africa,India,India,8 wickets,Centurion,2018-02-16,ODI # 3978,Team 2
584,Afghanistan,Zimbabwe,Afghanistan,146 runs,Sharjah,2018-02-19,ODI # 3979,Team 1
585,New Zealand,England,New Zealand,3 wickets,Hamilton,2018-02-25,ODI # 3980,Team 1
586,New Zealand,England,England,6 wickets,Mount Maunganui,2018-02-28,ODI # 3981,Team 2
587,New Zealand,England,England,4 runs,Wellington,2018-03-03,ODI # 3982,Team 2
588,Afghanistan,Scotland,Scotland,7 wickets,Bulawayo,2018-03-04,ODI # 3983,Team 2
589,P.N.G.,U.A.E.,U.A.E.,56 runs,Harare,2018-03-04,ODI # 3984,Team 2
590,Hong Kong,Scotland,Scotland,4 wickets,Bulawayo,2018-03-06,ODI # 3985,Team 2
591,Ireland,P.N.G.,Ireland,4 wickets,Harare,2018-03-06,ODI # 3986,Team 1
592,U.A.E.,West Indies,West Indies,60 runs,Harare,2018-03-06,ODI # 3987,Team 2
593,Zimbabwe,Afghanistan,Zimbabwe,2 runs,Bulawayo,2018-03-06,ODI # 3988,Team 1
594,New Zealand,England,New Zealand,5 wickets,Dunedin,2018-03-07,ODI # 3989,Team 1
595,Afghanistan,Hong Kong,Hong Kong,30 runs,Bulawayo,2018-03-08,ODI # 3990,Team 2
596,P.N.G.,West Indies,West Indies,6 wickets,Harare,2018-03-08,ODI # 3991,Team 2
597,New Zealand,England,England,7 wickets,Christchurch,2018-03-10,ODI # 3992,Team 2
598,Ireland,West Indies,West Indies,52 runs,Harare,2018-03-10,ODI # 3993,Team 2
599,Zimbabwe,Hong Kong,Zimbabwe,89 runs,Bulawayo,2018-03-10,ODI # 3994,Team 1
600,Ireland,U.A.E.,Ireland,226 runs,Harare,2018-03-12,ODI # 3995,Team 1
601,Zimbabwe,Scotland,tied,-,Bulawayo,2018-03-12,ODI # 3996,No Result
602,Afghanistan,West Indies,Afghanistan,3 wickets,Harare,2018-03-15,ODI # 3997,Team 1
603,Scotland,U.A.E.,Scotland,73 runs,Bulawayo,2018-03-15,ODI # 3998,Team 1
604,Zimbabwe,Ireland,Zimbabwe,107 runs,Harare,2018-03-16,ODI # 3999,Team 1
605,Hong Kong,P.N.G.,P.N.G.,58 runs,Harare,2018-03-17,ODI # 4000,Team 2
606,Ireland,Scotland,Ireland,25 runs,Harare,2018-03-18,ODI # 4001,Team 1
607,Zimbabwe,West Indies,West Indies,4 wickets,Harare,2018-03-19,ODI # 4002,Team 2
608,Afghanistan,U.A.E.,Afghanistan,5 wickets,Harare,2018-03-20,ODI # 4003,Team 1
609,Scotland,West Indies,West Indies,5 runs,Harare,2018-03-21,ODI # 4004,Team 2
610,Zimbabwe,U.A.E.,U.A.E.,3 runs,Harare,2018-03-22,ODI # 4005,Team 2
611,Afghanistan,Ireland,Afghanistan,5 wickets,Harare,2018-03-23,ODI # 4006,Team 1
612,Afghanistan,West Indies,Afghanistan,7 wickets,Harare,2018-03-25,ODI # 4007,Team 1
613,Scotland,England,Scotland,6 runs,Edinburgh,2018-06-10,ODI # 4008,Team 1
614,England,Australia,England,3 wickets,The Oval,2018-06-13,ODI # 4009,Team 1
615,England,Australia,England,38 runs,Cardiff,2018-06-16,ODI # 4010,Team 1
616,England,Australia,England,242 runs,Nottingham,2018-06-19,ODI # 4011,Team 1
617,England,Australia,England,6 wickets,Chester-le-Street,2018-06-21,ODI # 4012,Team 1
618,England,Australia,England,1 wicket,Manchester,2018-06-24,ODI # 4013,Team 1
619,England,India,India,8 wickets,Nottingham,2018-07-12,ODI # 4014,Team 2
620,Zimbabwe,Pakistan,Pakistan,201 runs,Bulawayo,2018-07-13,ODI # 4015,Team 2
621,England,India,England,86 runs,Lord's,2018-07-14,ODI # 4016,Team 1
622,Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,2018-07-16,ODI # 4017,Team 2
623,England,India,England,8 wickets,Leeds,2018-07-17,ODI # 4018,Team 1
624,Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,2018-07-18,ODI # 4019,Team 2
625,Zimbabwe,Pakistan,Pakistan,244 runs,Bulawayo,2018-07-20,ODI # 4020,Team 2
626,Zimbabwe,Pakistan,Pakistan,131 runs,Bulawayo,2018-07-22,ODI # 4021,Team 2
627,West Indies,Bangladesh,Bangladesh,48 runs,Providence,2018-07-22,ODI # 4022,Team 2
628,West Indies,Bangladesh,West Indies,3 runs,Providence,2018-07-25,ODI # 4023,Team 1
629,West Indies,Bangladesh,Bangladesh,18 runs,Basseterre,2018-07-28,ODI # 4024,Team 2
630,Sri Lanka,South Africa,South Africa,5 wickets,Dambulla,2018-07-29,ODI # 4025,Team 2
631,Netherlands,Nepal,Netherlands,55 runs,Amstelveen,2018-08-01,ODI # 4026,Team 1
632,Sri Lanka,South Africa,South Africa,4 wickets,Dambulla,2018-08-01,ODI # 4027,Team 2
633,Netherlands,Nepal,Nepal,1 run,Amstelveen,2018-08-03,ODI # 4028,Team 2
634,Sri Lanka,South Africa,South Africa,78 runs,Pallekele,2018-08-05,ODI # 4029,Team 2
635,Sri Lanka,South Africa,Sri Lanka,3 runs,Pallekele,2018-08-08,ODI # 4030,Team 1
636,Sri Lanka,South Africa,Sri Lanka,178 runs,Colombo (RPS),2018-08-12,ODI # 4031,Team 1
637,Ireland,Afghanistan,Afghanistan,29 runs,Belfast,2018-08-27,ODI # 4032,Team 2
638,Ireland,Afghanistan,Ireland,3 wickets,Belfast,2018-08-29,ODI # 4033,Team 1
639,Nepal,U.A.E.,U.A.E.,78 runs,Kuala Lumpur,2018-08-30,ODI # 4034,Team 2
640,Ireland,Afghanistan,Afghanistan,8 wickets,Belfast,2018-08-31,ODI # 4035,Team 2
641,Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai (DSC),2018-09-15,ODI # 4036,Team 1
642,Hong Kong,Pakistan,Pakistan,8 wickets,Dubai (DSC),2018-09-16,ODI # 4037,Team 2
643,Afghanistan,Sri Lanka,Afghanistan,91 runs,Abu Dhabi,2018-09-17,ODI # 4038,Team 1
644,Hong Kong,India,India,26 runs,Dubai (DSC),2018-09-18,ODI # 4039,Team 2
645,India,Pakistan,India,8 wickets,Dubai (DSC),2018-09-19,ODI # 4040,Team 1
646,Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi,2018-09-20,ODI # 4041,Team 1
647,Bangladesh,India,India,7 wickets,Dubai (DSC),2018-09-21,ODI # 4042,Team 2
648,Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi,2018-09-21,ODI # 4043,Team 2
649,India,Pakistan,India,9 wickets,Dubai (DSC),2018-09-23,ODI # 4044,Team 1
650,Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi,2018-09-23,ODI # 4045,Team 2
651,Afghanistan,India,tied,-,Dubai (DSC),2018-09-25,ODI # 4046,No Result
652,Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,2018-09-26,ODI # 4047,Team 1
653,Bangladesh,India,India,3 wickets,Dubai (DSC),2018-09-28,ODI # 4048,Team 2
654,South Africa,Zimbabwe,South Africa,5 wickets,Kimberley,2018-09-30,ODI # 4049,Team 1
655,South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein,2018-10-03,ODI # 4050,Team 1
656,South Africa,Zimbabwe,South Africa,4 wickets,Paarl,2018-10-06,ODI # 4051,Team 1
657,Sri Lanka,England,no result,-,Dambulla,2018-10-10,ODI # 4052,No Result
658,Sri Lanka,England,England,31 runs,Dambulla,2018-10-13,ODI # 4053,Team 2
659,Sri Lanka,England,England,7 wickets,Pallekele,2018-10-17,ODI # 4054,Team 2
660,Sri Lanka,England,England,18 runs,Pallekele,2018-10-20,ODI # 4055,Team 2
661,India,West Indies,India,8 wickets,Guwahati,2018-10-21,ODI # 4056,Team 1
662,Bangladesh,Zimbabwe,Bangladesh,28 runs,Mirpur,2018-10-21,ODI # 4057,Team 1
663,Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS),2018-10-23,ODI # 4058,Team 1
664,India,West Indies,tied,-,Visakhapatnam,2018-10-24,ODI # 4059,No Result
665,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,2018-10-24,ODI # 4060,Team 1
666,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,2018-10-26,ODI # 4061,Team 1
667,India,West Indies,West Indies,43 runs,Pune,2018-10-27,ODI # 4062,Team 2
668,India,West Indies,India,224 runs,Brabourne,2018-10-29,ODI # 4063,Team 1
669,India,West Indies,India,9 wickets,Thiruvananthapuram,2018-11-01,ODI # 4064,Team 1
670,Australia,South Africa,South Africa,6 wickets,Perth,2018-11-04,ODI # 4065,Team 2
671,New Zealand,Pakistan,New Zealand,47 runs,Abu Dhabi,2018-11-07,ODI # 4066,Team 1
672,Australia,South Africa,Australia,7 runs,Adelaide,2018-11-09,ODI # 4067,Team 1
673,New Zealand,Pakistan,Pakistan,6 wickets,Abu Dhabi,2018-11-09,ODI # 4068,Team 2
674,Australia,South Africa,South Africa,40 runs,Hobart,2018-11-11,ODI # 4069,Team 2
675,New Zealand,Pakistan,no result,-,Dubai (DSC),2018-11-11,ODI # 4070,No Result
676,Bangladesh,West Indies,Bangladesh,5 wickets,Mirpur,2018-12-09,ODI # 4071,Team 1
677,Bangladesh,West Indies,West Indies,4 wickets,Mirpur,2018-12-11,ODI # 4072,Team 2
678,Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet,2018-12-14,ODI # 4073,Team 1
679,Australia,Pakistan,Australia,92 runs,Brisbane,2017-01-13,ODI # 3817,Team 1
680,Australia,Pakistan,Pakistan,6 wickets,Melbourne,2017-01-15,ODI # 3818,Team 2
681,India,England,India,3 wickets,Pune,2017-01-15,ODI # 3819,Team 1
682,Australia,Pakistan,Australia,7 wickets,Perth,2017-01-19,ODI # 3820,Team 1
683,India,England,India,15 runs,Cuttack,2017-01-19,ODI # 3821,Team 1
684,Australia,Pakistan,Australia,86 runs,Sydney,2017-01-22,ODI # 3822,Team 1
685,Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi,2017-01-22,ODI # 3823,Team 1
686,India,England,England,5 runs,Eden Gardens,2017-01-22,ODI # 3824,Team 2
687,U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC),2017-01-24,ODI # 3825,Team 1
688,Australia,Pakistan,Australia,57 runs,Adelaide,2017-01-26,ODI # 3826,Team 1
689,U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC),2017-01-26,ODI # 3827,Team 1
690,South Africa,Sri Lanka,South Africa,8 wickets,Gqeberha,2017-01-28,ODI # 3828,Team 1
691,New Zealand,Australia,New Zealand,6 runs,Auckland,2017-01-30,ODI # 3829,Team 1
692,South Africa,Sri Lanka,South Africa,121 runs,Durban,2017-02-01,ODI # 3830,Team 1
693,South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg,2017-02-04,ODI # 3831,Team 1
694,New Zealand,Australia,New Zealand,24 runs,Hamilton,2017-02-05,ODI # 3832,Team 1
695,South Africa,Sri Lanka,South Africa,40 runs,Cape Town,2017-02-07,ODI # 3833,Team 1
696,South Africa,Sri Lanka,South Africa,88 runs,Centurion,2017-02-10,ODI # 3834,Team 1
697,Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare,2017-02-16,ODI # 3835,Team 2
698,New Zealand,South Africa,South Africa,4 wickets,Hamilton,2017-02-19,ODI # 3836,Team 2
699,Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare,2017-02-19,ODI # 3837,Team 2
700,Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare,2017-02-21,ODI # 3838,Team 1
701,New Zealand,South Africa,New Zealand,6 runs,Christchurch,2017-02-22,ODI # 3839,Team 1
702,Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare,2017-02-24,ODI # 3840,Team 1
703,New Zealand,South Africa,South Africa,159 runs,Wellington,2017-02-25,ODI # 3841,Team 2
704,Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare,2017-02-26,ODI # 3842,Team 2
705,New Zealand,South Africa,New Zealand,7 wickets,Hamilton,2017-03-01,ODI # 3843,Team 1
706,U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai,2017-03-02,ODI # 3844,Team 2
707,West Indies,England,England,45 runs,North Sound,2017-03-03,ODI # 3845,Team 2
708,New Zealand,South Africa,South Africa,6 wickets,Auckland,2017-03-04,ODI # 3846,Team 2
709,U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai,2017-03-04,ODI # 3847,Team 2
710,West Indies,England,England,4 wickets,North Sound,2017-03-05,ODI # 3848,Team 2
711,West Indies,England,England,186 runs,Bridgetown,2017-03-09,ODI # 3849,Team 2
712,Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida,2017-03-15,ODI # 3850,Team 1
713,Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida,2017-03-17,ODI # 3851,Team 1
714,Afghanistan,Ireland,Ireland,6 wickets,Greater Noida,2017-03-19,ODI # 3852,Team 2
715,Afghanistan,Ireland,Ireland,3 wickets,Greater Noida,2017-03-22,ODI # 3853,Team 2
716,Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida,2017-03-24,ODI # 3854,Team 1
717,Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,2017-03-25,ODI # 3855,Team 2
718,Sri Lanka,Bangladesh,no result,-,Dambulla,2017-03-28,ODI # 3856,No Result
719,U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi,2017-03-31,ODI # 3857,Team 1
720,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),2017-04-01,ODI # 3858,Team 1
721,U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi,2017-04-02,ODI # 3859,Team 2
722,U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi,2017-04-04,ODI # 3860,Team 1
723,West Indies,Pakistan,West Indies,4 wickets,Providence,2017-04-07,ODI # 3861,Team 1
724,West Indies,Pakistan,Pakistan,74 runs,Providence,2017-04-09,ODI # 3862,Team 2
725,West Indies,Pakistan,Pakistan,6 wickets,Providence,2017-04-11,ODI # 3863,Team 2
726,England,Ireland,England,7 wickets,Bristol,2017-05-05,ODI # 3864,Team 1
727,England,Ireland,England,85 runs,Lord's,2017-05-07,ODI # 3865,Team 1
728,Ireland,Bangladesh,no result,-,Dublin (Malahide),2017-05-12,ODI # 3866,No Result
729,Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide),2017-05-14,ODI # 3867,Team 2
730,Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,2017-05-17,ODI # 3868,Team 2
731,Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),2017-05-19,ODI # 3869,Team 2
732,Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide),2017-05-21,ODI # 3870,Team 2
733,Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,2017-05-24,ODI # 3871,Team 1
734,England,South Africa,England,72 runs,Leeds,2017-05-24,ODI # 3872,Team 1
735,England,South Africa,England,2 runs,Southampton,2017-05-27,ODI # 3873,Team 1
736,England,South Africa,South Africa,7 wickets,Lord's,2017-05-29,ODI # 3874,Team 2
737,England,Bangladesh,England,8 wickets,The Oval,2017-06-01,ODI # 3875,Team 1
738,Australia,New Zealand,no result,-,Birmingham,2017-06-02,ODI # 3876,No Result
739,South Africa,Sri Lanka,South Africa,96 runs,The Oval,2017-06-03,ODI # 3877,Team 1
740,India,Pakistan,India,124 runs,Birmingham,2017-06-04,ODI # 3878,Team 1
741,Australia,Bangladesh,no result,-,The Oval,2017-06-05,ODI # 3879,No Result
742,England,New Zealand,England,87 runs,Cardiff,2017-06-06,ODI # 3880,Team 1
743,Pakistan,South Africa,Pakistan,19 runs,Birmingham,2017-06-07,ODI # 3881,Team 1
744,India,Sri Lanka,Sri Lanka,7 wickets,The Oval,2017-06-08,ODI # 3882,Team 2
745,Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,2017-06-09,ODI # 3883,Team 1
746,West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet,2017-06-09,ODI # 3884,Team 2
747,England,Australia,England,40 runs,Birmingham,2017-06-10,ODI # 3885,Team 1
748,India,South Africa,India,8 wickets,The Oval,2017-06-11,ODI # 3886,Team 1
749,West Indies,Afghanistan,West Indies,4 wickets,Gros Islet,2017-06-11,ODI # 3887,Team 1
750,Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff,2017-06-12,ODI # 3888,Team 1
751,England,Pakistan,Pakistan,8 wickets,Cardiff,2017-06-14,ODI # 3889,Team 2
752,West Indies,Afghanistan,no result,-,Gros Islet,2017-06-14,ODI # 3890,No Result
753,Bangladesh,India,India,9 wickets,Birmingham,2017-06-15,ODI # 3891,Team 2
754,Scotland,Zimbabwe,Scotland,26 runs,Edinburgh,2017-06-15,ODI # 3892,Team 1
755,Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,2017-06-17,ODI # 3893,Team 2
756,India,Pakistan,Pakistan,180 runs,The Oval,2017-06-18,ODI # 3894,Team 2
757,West Indies,India,no result,-,Port of Spain,2017-06-23,ODI # 3895,No Result
758,West Indies,India,India,105 runs,Port of Spain,2017-06-25,ODI # 3896,Team 2
759,Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,2017-06-30,ODI # 3897,Team 2
760,West Indies,India,India,93 runs,North Sound,2017-06-30,ODI # 3898,Team 2
761,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,2017-07-02,ODI # 3899,Team 1
762,West Indies,India,West Indies,11 runs,North Sound,2017-07-02,ODI # 3900,Team 1
763,Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota,2017-07-06,ODI # 3901,Team 1
764,West Indies,India,India,8 wickets,Kingston,2017-07-06,ODI # 3902,Team 2
765,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota,2017-07-08,ODI # 3903,Team 2
766,Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota,2017-07-10,ODI # 3904,Team 2
767,Sri Lanka,India,India,9 wickets,Dambulla,2017-08-20,ODI # 3905,Team 2
768,Sri Lanka,India,India,3 wickets,Pallekele,2017-08-24,ODI # 3906,Team 2
769,Sri Lanka,India,India,6 wickets,Pallekele,2017-08-27,ODI # 3907,Team 2
770,Sri Lanka,India,India,168 runs,Colombo (RPS),2017-08-31,ODI # 3908,Team 2
771,Sri Lanka,India,India,6 wickets,Colombo (RPS),2017-09-03,ODI # 3909,Team 2
772,India,Australia,India,26 runs,Chennai,2017-09-17,ODI # 3910,Team 1
773,England,West Indies,England,7 wickets,Manchester,2017-09-19,ODI # 3911,Team 1
774,India,Australia,India,50 runs,Eden Gardens,2017-09-21,ODI # 3912,Team 1
775,England,West Indies,no result,-,Nottingham,2017-09-21,ODI # 3913,No Result
776,India,Australia,India,5 wickets,Indore,2017-09-24,ODI # 3914,Team 1
777,England,West Indies,England,124 runs,Bristol,2017-09-24,ODI # 3915,Team 1
778,England,West Indies,England,6 runs,The Oval,2017-09-27,ODI # 3916,Team 1
779,India,Australia,Australia,21 runs,Bengaluru,2017-09-28,ODI # 3917,Team 2
780,England,West Indies,England,9 wickets,Southampton,2017-09-29,ODI # 3918,Team 1
781,India,Australia,India,7 wickets,Nagpur,2017-10-01,ODI # 3919,Team 1
782,P.N.G.,Scotland,Scotland,101 runs,Port Moresby,2017-10-06,ODI # 3920,Team 2
783,P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby,2017-10-08,ODI # 3921,Team 1
784,Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC),2017-10-13,ODI # 3922,Team 1
785,South Africa,Bangladesh,South Africa,10 wickets,Kimberley,2017-10-15,ODI # 3923,Team 1
786,Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi,2017-10-16,ODI # 3924,Team 1
787,South Africa,Bangladesh,South Africa,104 runs,Paarl,2017-10-18,ODI # 3925,Team 1
788,Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,2017-10-18,ODI # 3926,Team 1
789,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,2017-10-20,ODI # 3927,Team 1
790,India,New Zealand,New Zealand,6 wickets,Wankhede,2017-10-22,ODI # 3928,Team 2
791,South Africa,Bangladesh,South Africa,200 runs,East London,2017-10-22,ODI # 3929,Team 1
792,Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah,2017-10-23,ODI # 3930,Team 1
793,India,New Zealand,India,6 wickets,Pune,2017-10-25,ODI # 3931,Team 1
